Date,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",,,,source,http://www.eia.gov/dnav/pet/pet_pri_spt_s1_d.htm
1986/1/15,22.93,,,,,
1987/1/15,18.65,,,,,
1988/1/15,17.13,,,,,
1989/1/15,18.02,,,,,
1990/1/15,22.86,,,,,
1991/1/15,25.23,,,,,
1992/1/15,18.79,,,,,
1993/1/15,19.03,,,,,
1994/1/15,15.03,,,,,
1995/1/15,18.04,,,,,
1996/1/15,18.86,,,,,
1997/1/15,25.13,,,,,
1998/1/15,16.72,,,,,
1999/1/15,12.52,,,,,
2000/1/15,27.26,,,,,
2001/1/15,29.59,,,,,
2002/1/15,19.72,,,,,
2003/1/15,32.95,,,,,
2004/1/15,34.31,,,,,
2005/1/15,46.84,,,,,
2006/1/15,65.49,,,,,
2007/1/15,54.51,,,,,
2008/1/15,92.97,,,,,
2009/1/15,41.71,,,,,
2010/1/15,78.33,,,,,
2011/1/15,89.17,,,,,
2012/1/15,100.27,,,,,
2013/1/15,94.76,,,,,
2014/1/15,94.62,,,,,
2015/1/15,47.22,,,,,