Date,gap,ãüãã,é˘óv,àÍê«Ç†ÇΩÇËÇÃé˘óv,,,é˘óv,ãüãã,,
2004/1/1,-0.028679342,7239,6.708613766,0.000900154,,,,,,
5-Jan,-0.009445715,8178,7.018010009,0.000850051,,,,,,
2006/1/1,0.041041782,9519,7.582203159,0.000829225,,,,,,
2007/1/1,0.064745849,10821,8.492192108,0.0008356,,,,,,
2008/1/1,0.14351105,12141,8.819788133,0.0008307,,,,,,
9-Jan,0.307094915,12938,7.982598298,0.000806463,,,,,,
10-Jan,0.226633176,14092,9.183783717,0.000799399,,,,,,
11-Jan,0.204202544,15319,9.820775983,0.000771996,,,,,,
12-Jan,0.217494159,16196,10.03917333,0.00075467,,,,,,
13-Jan,0.19655161,17135,10.2393709,0.000715024,,,,,,
14-Jan,0.163712653,18141,10.63976603,0.000682522,1.140234524,0.002426366,102,18141,0.005622623,0.006543117
15-Jan,0.240983579,19691,10.78536427,0.000679725,,,,,,
16-Jan,0.217066929,19935,11.07656073,0.000676244,,,,,,
17-Jan,0.202084967,,,0.000779367,,,,,0.02326057,
,,,,,,,,,,
,,,,0.003034855,,,,,,