Date,Price,80929069.99
2004/1/1,72428074.27,
2004/2/1,73681852.41,
2004/3/1,78070075.9,
2004/4/1,80891076.71,
2004/5/1,82144854.85,
2004/6/1,83085188.46,
2004/7/1,83398632.99,
2004/8/1,83712077.53,
2004/9/1,85906189.27,
2004/10/1,87473411.95,
2004/11/1,88413745.55,
2004/12/1,89980968.23,
2005/1/1,92801969.04,
2005/2/1,93115413.58,
2005/3/1,97817081.6,
2005/4/1,102518749.6,
2005/5/1,102205305.1,
2005/6/1,99070859.74,
2005/7/1,97190192.53,
2005/8/1,93742302.65,
2005/9/1,90921301.83,
2005/10/1,90294412.76,
2005/11/1,89667523.69,
2005/12/1,89040634.62,
2006/1/1,89667523.69,
2006/2/1,90921301.83,
2006/3/1,93115413.58,
2006/4/1,94369191.72,
2006/5/1,95622969.86,
2006/6/1,96876748,
2006/7/1,98443970.67,
2006/8/1,99070859.74,
2006/9/1,99384304.28,
2006/10/1,100638082.4,
2006/11/1,100324637.9,
2006/12/1,100638082.4,
2007/1/1,100638082.4,
2007/2/1,100638082.4,
2007/3/1,101891860.6,
2007/4/1,102832194.2,
2007/5/1,104399416.8,
2007/6/1,104399416.8,
2007/7/1,105026305.9,
2007/8/1,104712861.4,
2007/9/1,105026305.9,
2007/10/1,105026305.9,
2007/11/1,105026305.9,
2007/12/1,105653195,
2008/1/1,105339750.4,
2008/2/1,105653195,
2008/3/1,105653195,
2008/4/1,105966639.5,
2008/5/1,105966639.5,
2008/6/1,105966639.5,
2008/7/1,106280084,
2008/8/1,106280084,
2008/9/1,105653195,
2008/10/1,103459083.2,
2008/11/1,99697748.81,
2008/12/1,97190192.53,
2009/1/1,94682636.25,
2009/2/1,89040634.62,
2009/3/1,86533078.34,
2009/4/1,83712077.53,
2009/5/1,80264187.64,
2009/6/1,76502853.22,
2009/7/1,75249075.08,
2009/8/1,72114629.73,
2009/9/1,70233962.52,
2009/10/1,67726406.24,
2009/11/1,67726406.24,
2009/12/1,67412961.71,
2010/1/1,66786072.64,
2010/2/1,66786072.64,
2010/3/1,67099517.17,
2010/4/1,67412961.71,
2010/5/1,66786072.64,
2010/6/1,67726406.24,
2010/7/1,71174296.13,
2010/8/1,74935630.55,
2010/9/1,76189408.69,
2010/10/1,77129742.29,
2010/11/1,78070075.9,
2010/12/1,77443186.83,
2011/1/1,75249075.08,
2011/2/1,72428074.27,
2011/3/1,70860851.59,
2011/4/1,70547407.06,
2011/5/1,70233962.52,
2011/6/1,70547407.06,
2011/7/1,69607073.45,
2011/8/1,69920517.99,
2011/9/1,69607073.45,
2011/10/1,68666739.85,
2011/11/1,68039850.78,
2011/12/1,67412961.71,
2012/1/1,67099517.17,
2012/2/1,66472628.1,
2012/3/1,65218849.96,
2012/4/1,63965071.82,
2012/5/1,62711293.68,
2012/6/1,61457515.54,
2012/7/1,60203737.4,
2012/8/1,59576848.33,
2012/9/1,59263403.8,
2012/10/1,58949959.26,
2012/11/1,58009625.66,
2012/12/1,57382736.59,
2013/1/1,57069292.05,
2013/2/1,57382736.59,
2013/3/1,57382736.59,
2013/4/1,58323070.19,
2013/5/1,58949959.26,
2013/6/1,59263403.8,
2013/7/1,61457515.54,
2013/8/1,62397849.15,
2013/9/1,63651627.29,
2013/10/1,64278516.36,
2013/11/1,64278516.36,
2013/12/1,64905405.43,
2014/1/1,66159183.57,
2014/2/1,66786072.64,
2014/3/1,66786072.64,
2014/4/1,66786072.64,
2014/5/1,66786072.64,
2014/6/1,66472628.1,
2014/7/1,66159183.57,
2014/8/1,65845739.03,
2014/9/1,65845739.03,
2014/10/1,65845739.03,
2014/11/1,66159183.57,
2014/12/1,66472628.1,