Date,Price,61033720.12
2008/1/1,109747468.4,
2008/2/1,110265535.7,
2008/3/1,108970367.4,
2008/4/1,108970367.4,
2008/5/1,107157131.7,
2008/6/1,101976458.3,
2008/7/1,102494525.7,
2008/8/1,103530660.4,
2008/9/1,98090953.33,
2008/10/1,86434438.26,
2008/11/1,74518889.53,
2008/12/1,70115317.17,
2009/1/1,68302081.5,
2009/2/1,66488845.82,
2009/3/1,64675610.14,
2009/4/1,63121408.14,
2009/5/1,59753970.45,
2009/6/1,53278128.75,
2009/7/1,48356489.05,
2009/8/1,47061320.71,
2009/9/1,46543253.38,
2009/10/1,43952916.7,
2009/11/1,42657748.36,
2009/12/1,41103546.35,
2010/1/1,43434849.36,
2010/2/1,46543253.38,
2010/3/1,50687792.07,
2010/4/1,52760061.41,
2010/5/1,55868465.43,
2010/6/1,57681701.11,
2010/7/1,59753970.45,
2010/8/1,65970778.48,
2010/9/1,67784014.16,
2010/10/1,68820148.83,
2010/11/1,70115317.17,
2010/12/1,71410485.51,
2011/1/1,71928552.85,
2011/2/1,72964687.52,
2011/3/1,74259855.86,
2011/4/1,74777923.2,
2011/5/1,74777923.2,
2011/6/1,74518889.53,
2011/7/1,73223721.19,
2011/8/1,70892418.18,
2011/9/1,67265946.82,
2011/10/1,58458802.11,
2011/11/1,53537162.42,
2011/12/1,49651657.39,
2012/1/1,49651657.39,
2012/2/1,49651657.39,
2012/3/1,49910691.06,
2012/4/1,50169724.73,
2012/5/1,50946825.74,
2012/6/1,50946825.74,
2012/7/1,50946825.74,
2012/8/1,50687792.07,
2012/9/1,49392623.73,
2012/10/1,48356489.05,
2012/11/1,47061320.71,
2012/12/1,46543253.38,
2013/1/1,47838421.72,
2013/2/1,49910691.06,
2013/3/1,50946825.74,
2013/4/1,48615522.72,
2013/5/1,48615522.72,
2013/6/1,49651657.39,
2013/7/1,50946825.74,
2013/8/1,51205859.4,
2013/9/1,51464893.07,
2013/10/1,51464893.07,
2013/11/1,51464893.07,
2013/12/1,51464893.07,
2014/1/1,51464893.07,
2014/2/1,51464893.07,
2014/3/1,51464893.07,
2014/4/1,51464893.07,
2014/5/1,51464893.07,
2014/6/1,50946825.74,
2014/7/1,48874556.39,
2014/8/1,46025186.04,
2014/9/1,43693883.03,
2014/10/1,42916782.02,
2014/11/1,42398714.69,
2014/12/1,42139681.02,