a,b,c,d,e,f,g,h,i,j,k,l,m,expectation,variance
30,40,500,1400,50,150,98,101,2,2,2,2,1,0.014174249,0
110,140,500,3000,200,200,101,101,2,2,2,2,2,-0.23538952,0
50,120,1500,3000,70,150,102,150,2,2,2,2,3,-0.23538952,0
0,150,1100,1200,105,120,80,120,2,2,2,3,0,-0.23538952,0
0,60,600,900,80,110,50,100,2,2,2,3,1,0.085979398,0
0,140,500,1200,120,150,100,150,2,2,2,3,2,-0.23538952,0
40,50,3000,3000,100,140,0,100,2,2,2,3,3,-0.082109951,0
20,100,500,1000,110,160,50,80,2,2,3,0,0,-0.23538952,0
0,110,1400,1800,70,100,95,99,2,2,3,0,1,-0.23538952,0
20,150,1200,1400,50,60,50,103,2,2,3,0,2,-0.23538952,0
60,150,1100,1800,50,95,80,95,2,2,3,0,3,-0.23538952,0
40,130,800,1200,80,200,95,100,2,2,3,1,0,-0.236405324,0
0,10,600,1200,60,95,103,110,2,2,3,1,1,-0.23538952,0
70,90,0,2000,0,140,95,101,2,2,3,1,2,-0.23538952,0
20,90,1000,2000,90,110,95,100,2,2,3,1,3,-0.23538952,0
80,90,1800,2000,80,160,90,150,2,2,3,2,0,-0.23538952,0
10,30,1400,3000,50,160,90,95,2,2,3,2,1,-0.23538952,0
10,100,1100,1200,70,160,99,101,2,2,3,2,2,-0.23538952,0
140,150,0,1000,70,120,0,110,2,2,3,2,3,-0.23538952,0
30,120,300,1000,70,150,100,150,2,2,3,3,0,-0.161355652,0
10,150,0,1500,130,160,97,97,2,2,3,3,1,-0.23538952,0
10,30,1000,3000,0,105,100,103,2,2,3,3,2,-0.23538952,0
10,50,700,700,80,160,80,102,2,2,3,3,3,-0.354396457,0
60,90,1000,1400,100,120,101,103,2,3,0,0,0,-0.23538952,0
10,80,0,900,105,160,0,120,2,3,0,0,1,0.956398344,0
60,60,2000,2000,80,140,80,101,2,3,0,0,2,0.938309386,0
50,80,1300,1300,50,105,97,105,2,3,0,0,3,-0.23538952,0
50,60,500,1300,90,120,50,98,2,3,0,1,0,-0.23538952,0
10,90,500,700,50,160,97,98,2,3,0,1,1,-0.23538952,0
20,120,2000,3000,100,140,90,103,2,3,0,1,2,-0.23538952,0
10,30,600,1000,130,160,95,110,2,3,0,1,3,-0.23538952,0
150,150,800,1100,105,130,97,150,2,3,0,2,0,-0.036535652,0
30,100,900,900,60,200,80,101,2,3,0,2,1,1.001598976,0
10,70,500,1100,95,140,102,150,2,3,0,2,2,-0.23538952,0
0,140,0,2000,100,200,0,110,2,3,0,2,3,0.893155584,0
0,140,700,1500,140,150,95,95,2,3,0,3,0,-0.23538952,0
20,140,700,1100,160,160,90,90,2,3,0,3,1,1.011472458,0
10,80,900,1400,50,130,50,100,2,3,0,3,2,0.232905165,0
10,20,0,900,130,200,102,103,2,3,0,3,3,-0.23538952,0
90,130,600,900,70,130,99,110,2,3,1,0,0,-0.23538952,0
60,70,0,1200,100,105,50,103,2,3,1,0,1,-0.23538952,0
30,50,800,1500,105,120,0,102,2,3,1,0,2,0.918941495,0
10,20,1400,1500,0,130,95,101,2,3,1,0,3,-0.23538952,0
60,120,800,1400,0,160,97,150,2,3,1,1,0,-0.23538952,0
70,100,1200,2000,95,100,98,120,2,3,1,1,1,-0.23538952,0
110,120,700,900,120,150,101,103,2,3,1,1,2,-0.23538952,0
40,110,700,1400,50,160,80,102,2,3,1,1,3,0.463894469,0
20,50,700,1500,100,130,0,99,2,3,1,2,0,-0.23538952,0
20,110,800,1100,50,110,80,90,2,3,1,2,1,-0.23538952,0
40,130,1200,2000,120,140,95,98,2,3,1,2,2,-0.23538952,0
20,90,1400,1400,110,160,98,101,2,3,1,2,3,-0.075445405,0
20,20,300,1400,110,150,50,100,2,3,1,3,0,0.543487657,0
0,10,1300,1300,120,200,95,110,2,3,1,3,1,-0.23538952,0
20,60,0,3000,105,130,0,120,2,3,1,3,2,0.889876708,0
20,100,900,2000,90,150,90,120,2,3,1,3,3,0.078544384,0
0,130,900,1500,95,110,0,101,2,3,2,0,0,0.139242038,0
20,50,700,1400,50,160,80,110,2,3,2,0,1,0.816412792,0
10,130,500,1200,70,130,80,110,2,3,2,0,2,0.700709786,0
40,80,300,1200,80,140,95,95,2,3,2,0,3,0.310642521,0
30,130,600,1400,0,105,0,101,2,3,2,1,0,0.232079024,0
40,80,1500,2000,90,95,98,99,2,3,2,1,1,-0.23538952,0
0,120,600,600,0,130,0,110,2,3,2,1,2,0.701459774,0
120,140,1500,3000,110,200,50,110,2,3,2,1,3,-0.23538952,0
20,140,300,1300,50,140,97,103,2,3,2,2,0,-0.099731626,0
10,80,300,900,105,120,90,100,2,3,2,2,1,0.160580123,0
50,110,500,900,140,200,50,90,2,3,2,2,2,-0.23538952,0
60,70,700,2000,105,110,101,102,2,3,2,2,3,-0.23538952,0
0,50,500,1300,50,120,50,100,2,3,2,3,0,0.797385797,0
70,120,700,1300,50,130,97,101,2,3,2,3,1,-0.23538952,0
20,70,600,1800,50,160,100,110,2,3,2,3,2,-0.118950936,0
90,140,1000,1100,70,95,97,99,2,3,2,3,3,-0.23538952,0
30,60,800,1500,100,200,50,110,2,3,3,0,0,0.064736782,0
50,60,1200,1500,150,160,97,98,2,3,3,0,1,-0.23538952,0
0,120,500,800,70,120,101,103,2,3,3,0,2,-0.23538952,0
80,110,0,600,50,70,105,110,2,3,3,0,3,-0.23538952,0
20,130,300,1000,110,110,97,102,2,3,3,1,0,0.028993483,0
70,90,800,1100,150,150,98,120,2,3,3,1,1,-0.23538952,0
50,100,1300,1500,100,200,80,90,2,3,3,1,2,-0.23538952,0
50,90,500,1100,160,160,80,98,2,3,3,1,3,-0.23538952,0
10,40,500,600,50,140,105,110,2,3,3,2,0,-0.23538952,0
60,140,1300,1800,120,160,90,103,2,3,3,2,1,-0.23538952,0
0,100,1400,1400,90,130,99,120,2,3,3,2,2,-0.007061234,0
50,90,600,1500,90,140,80,97,2,3,3,2,3,-0.23538952,0
30,110,500,1000,60,130,90,105,2,3,3,3,0,0.156438834,0
20,110,700,700,50,110,80,110,2,3,3,3,1,0.126529513,0
60,150,600,1400,100,160,97,97,2,3,3,3,2,-0.23538952,0
0,50,800,3000,0,110,0,120,2,3,3,3,3,0.072756017,0
20,70,800,900,95,120,80,105,3,0,0,0,0,-0.218938485,0
90,130,700,1800,140,160,95,101,3,0,0,0,1,-0.23538952,0
130,140,500,800,130,140,90,103,3,0,0,0,2,-0.23538952,0
100,110,500,800,110,140,50,97,3,0,0,0,3,-0.23538952,0
50,50,0,1100,95,120,90,150,3,0,0,1,0,-0.17003513,0
20,30,300,1200,60,70,80,98,3,0,0,1,1,-0.23538952,0
0,70,0,1100,0,70,99,120,3,0,0,1,2,-0.23538952,0
20,40,900,2000,95,150,50,80,3,0,0,1,3,-0.23538952,0
90,130,900,2000,160,200,99,100,3,0,0,2,0,-0.23538952,0
110,130,0,1300,0,100,80,98,3,0,0,2,1,-0.23538952,0
90,110,1000,1000,0,150,50,110,3,0,0,2,2,-0.23538952,0
100,100,1100,1200,140,150,105,150,3,0,0,2,3,-0.23538952,0
0,70,1300,1300,130,130,90,101,3,0,0,3,0,-0.017895381,0
90,100,900,1300,80,120,105,105,3,0,0,3,1,-0.23538952,0
60,60,500,1400,95,140,110,110,3,0,0,3,2,-0.14557466,0
70,90,800,1500,50,130,80,110,3,0,0,3,3,-0.23538952,0
30,50,700,1400,0,160,97,150,3,0,1,0,0,-1.161913158,0
40,60,700,1800,0,90,90,95,3,0,1,0,1,-0.23538952,0
110,140,700,1200,50,60,98,102,3,0,1,0,2,-0.23538952,0
40,120,500,1300,120,140,105,150,3,0,1,0,3,-0.23538952,0
10,100,3000,3000,60,150,0,110,3,0,1,1,0,-0.542404584,0
90,140,0,300,105,120,101,102,3,0,1,1,1,-0.23538952,0
40,100,1400,1500,60,95,97,150,3,0,1,1,2,-0.23538952,0
40,140,1200,1300,80,200,50,100,3,0,1,1,3,-0.23538952,0
50,70,600,1200,70,140,97,98,3,0,1,2,0,-0.23538952,0
30,50,500,1200,140,140,97,110,3,0,1,2,1,-0.547773566,0
0,70,0,900,150,160,97,97,3,0,1,2,2,-0.23538952,0
100,110,800,1800,110,120,99,101,3,0,1,2,3,-0.23538952,0
40,130,500,800,80,160,100,101,3,0,1,3,0,-0.163999971,0
20,30,600,1500,100,140,80,110,3,0,1,3,1,-0.226077818,0
0,140,1300,1300,70,200,90,101,3,0,1,3,2,-0.309683967,0
0,30,700,1300,95,100,100,102,3,0,1,3,3,-0.23538952,0
20,110,0,0,50,140,97,110,3,0,2,0,0,-0.572160717,0
20,150,1800,3000,95,130,95,120,3,0,2,0,1,-0.23538952,0
110,130,1400,1800,50,95,99,101,3,0,2,0,2,-0.23538952,0
60,60,0,1000,120,160,98,98,3,0,2,0,3,-0.23538952,0
10,110,500,1000,50,140,50,97,3,0,2,1,0,-0.23538952,0
30,140,0,1200,80,120,99,150,3,0,2,1,1,-1.617631515,0
30,140,1200,1500,100,105,0,95,3,0,2,1,2,-0.23538952,0
0,100,1500,1800,50,60,110,120,3,0,2,1,3,-0.23538952,0
30,150,1100,1400,100,120,102,103,3,0,2,2,0,-0.23538952,0
40,70,700,1200,80,105,105,105,3,0,2,2,1,-0.445820879,0
50,150,900,2000,60,90,100,120,3,0,2,2,2,-0.23538952,0
50,140,500,2000,80,160,50,97,3,0,2,2,3,-0.23538952,0
30,110,0,2000,95,120,0,97,3,0,2,3,0,-0.23538952,0
90,150,700,1300,70,150,105,110,3,0,2,3,1,-0.23538952,0
30,110,800,800,70,150,0,102,3,0,2,3,2,-0.367271385,0
70,150,0,500,0,0,50,103,3,0,2,3,3,-0.23538952,0
140,140,1000,3000,60,160,95,99,3,0,3,0,0,-0.23538952,0
20,140,300,1200,70,200,105,110,3,0,3,0,1,-0.23538952,0
10,70,600,900,105,130,97,103,3,0,3,0,2,-0.42358192,0
0,140,700,900,50,140,0,100,3,0,3,0,3,-0.435304926,0
110,130,800,1400,70,90,0,102,3,0,3,1,0,-0.23538952,0
0,30,1100,1100,120,200,0,90,3,0,3,1,1,-0.23538952,0
80,110,900,2000,140,200,0,100,3,0,3,1,2,-0.23538952,0
20,110,1100,1300,0,70,99,100,3,0,3,1,3,-0.23538952,0
50,120,700,1000,90,150,98,102,3,0,3,2,0,-0.23538952,0
70,120,500,600,140,200,97,103,3,0,3,2,1,-0.23538952,0
60,100,1000,2000,50,200,95,150,3,0,3,2,2,-0.23538952,0
10,120,1000,3000,95,120,0,105,3,0,3,2,3,-0.23538952,0
50,70,300,800,120,120,80,99,3,0,3,3,0,-0.23538952,0
80,90,500,3000,70,160,98,150,3,0,3,3,1,-0.23538952,0
30,130,600,700,100,100,0,80,3,0,3,3,2,-0.23538952,0
150,150,0,500,105,130,80,110,3,0,3,3,3,-0.23538952,0
50,120,300,600,100,105,97,100,3,1,0,0,0,-0.23538952,0
30,30,700,700,70,95,0,98,3,1,0,0,1,-0.23538952,0
10,100,0,1400,130,200,0,0,3,1,0,0,2,-0.23538952,0
10,80,300,1500,100,110,80,120,3,1,0,0,3,0.416548835,0
20,20,500,1200,60,130,50,150,3,1,0,1,0,0.729275526,0
80,120,300,700,95,130,80,120,3,1,0,1,1,-0.23538952,0
30,90,500,3000,70,200,80,110,3,1,0,1,2,0.577346541,0
10,120,700,1800,100,200,95,110,3,1,0,1,3,-0.043763812,0
0,70,500,1000,80,160,50,102,3,1,0,2,0,0.752736854,0
10,130,0,1000,95,160,50,110,3,1,0,2,1,0.721339955,0
30,50,1400,2000,90,140,0,120,3,1,0,2,2,-0.23538952,0
0,30,500,1500,100,105,80,103,3,1,0,2,3,-0.23538952,0
70,90,0,900,160,200,99,103,3,1,0,3,0,-0.23538952,0
20,40,300,1400,50,110,80,103,3,1,0,3,1,0.521253675,0
20,150,500,1000,90,160,0,103,3,1,0,3,2,0.677154094,0
10,150,1500,1500,60,60,80,150,3,1,0,3,3,0.640261115,0
0,130,500,1100,90,200,95,110,3,1,1,0,0,-0.053890682,0
60,120,3000,3000,50,100,97,100,3,1,1,0,1,-0.23538952,0
30,30,1800,3000,90,150,0,102,3,1,1,0,2,-0.23538952,0
0,150,500,600,0,160,99,101,3,1,1,0,3,-0.275572516,0
0,20,1800,2000,60,110,105,120,3,1,1,1,0,-0.23538952,0
30,70,800,3000,95,120,97,110,3,1,1,1,1,-0.069208956,0
10,150,700,3000,160,200,105,105,3,1,1,1,2,-0.23538952,0
10,120,600,1100,0,200,98,150,3,1,1,1,3,-0.174099032,0
20,120,300,700,140,140,97,101,3,1,1,2,0,-0.21127675,0
10,100,300,1800,105,160,0,120,3,1,1,2,1,-0.028850695,0
0,130,300,1300,100,100,103,103,3,1,1,2,2,-0.082578192,0
10,150,0,300,100,140,0,50,3,1,1,2,3,-0.23538952,0
40,100,1400,1800,150,160,90,103,3,1,1,3,0,-0.23538952,0
40,60,600,3000,60,110,50,100,3,1,1,3,1,-0.089898224,0
0,70,700,1000,90,200,99,99,3,1,1,3,2,0.001326784,0
70,150,0,700,100,160,90,102,3,1,1,3,3,-0.23538952,0
10,100,1300,1500,140,150,80,150,3,1,2,0,0,-0.23538952,0
0,20,600,1400,0,140,102,102,3,1,2,0,1,-0.23538952,0
60,150,600,900,90,110,80,99,3,1,2,0,2,-0.23538952,0
30,120,700,3000,70,100,0,105,3,1,2,0,3,-0.23538952,0
10,120,2000,3000,60,105,50,98,3,1,2,1,0,-0.23538952,0
90,150,700,1800,50,95,100,110,3,1,2,1,1,-0.23538952,0
70,130,500,2000,80,130,101,105,3,1,2,1,2,-0.23538952,0
10,90,1000,1100,150,200,0,105,3,1,2,1,3,-0.23538952,0
0,120,1200,3000,60,100,99,110,3,1,2,2,0,-0.23538952,0
30,40,500,900,95,100,98,99,3,1,2,2,1,-0.23538952,0
50,150,1000,3000,0,105,103,110,3,1,2,2,2,-0.23538952,0
0,90,0,900,50,100,100,150,3,1,2,2,3,-0.308213688,0
10,100,800,1400,80,140,100,110,3,1,2,3,0,-0.176428168,0
50,140,600,3000,50,70,90,120,3,1,2,3,1,-0.23538952,0
40,130,0,600,50,105,50,99,3,1,2,3,2,-0.23538952,0
130,130,1100,1300,105,130,50,105,3,1,2,3,3,-0.23538952,0
0,40,600,1000,80,90,101,110,3,1,3,0,0,-0.23538952,0
20,140,900,1400,0,50,100,103,3,1,3,0,1,-0.23538952,0
60,60,0,600,70,120,50,105,3,1,3,0,2,-0.304709622,0
80,130,0,700,60,120,103,110,3,1,3,0,3,-0.23538952,0
0,70,0,1500,105,160,95,102,3,1,3,1,0,-0.337246743,0
40,120,1500,2000,100,100,0,50,3,1,3,1,1,-0.23538952,0
110,110,0,3000,60,70,90,90,3,1,3,1,2,-0.23538952,0
50,150,1000,1300,100,150,0,105,3,1,3,1,3,-0.23538952,0
100,120,900,1100,120,130,80,101,3,1,3,2,0,-0.23538952,0
90,100,500,1100,95,130,0,150,3,1,3,2,1,-0.23538952,0
30,140,1100,3000,60,100,103,105,3,1,3,2,2,-0.23538952,0
0,150,0,1400,110,120,98,103,3,1,3,2,3,-0.341687473,0
0,150,2000,3000,100,200,102,120,3,1,3,3,0,-0.23538952,0
70,150,0,1100,105,105,0,150,3,1,3,3,1,-0.23538952,0
70,90,1400,1500,80,130,50,97,3,1,3,3,2,-0.23538952,0
80,90,1100,1200,95,140,50,95,3,1,3,3,3,-0.23538952,0
40,90,300,2000,100,110,0,101,3,2,0,0,0,0.337238417,0
120,150,700,1800,50,110,103,120,3,2,0,0,1,-0.23538952,0
30,80,800,900,50,105,102,103,3,2,0,0,2,-0.23538952,0
70,100,0,1500,95,105,97,103,3,2,0,0,3,-0.23538952,0
10,80,300,1000,0,50,80,80,3,2,0,1,0,-0.23538952,0
60,140,0,1000,90,110,110,120,3,2,0,1,1,-0.23538952,0
40,110,1000,2000,0,130,50,110,3,2,0,1,2,-0.23538952,0
130,130,700,1000,105,150,80,103,3,2,0,1,3,0.869233995,0
30,130,300,1100,70,105,80,103,3,2,0,2,0,0.352728745,0
40,70,600,1300,110,160,99,102,3,2,0,2,1,-0.23538952,0
20,40,800,1800,100,160,80,102,3,2,0,2,2,0.854736922,0
0,20,1000,1200,0,80,99,150,3,2,0,2,3,-0.23538952,0
40,70,0,3000,100,150,0,100,3,2,0,3,0,0.289922019,0
70,130,600,700,60,90,98,103,3,2,0,3,1,-0.23538952,0
0,150,300,1500,120,120,100,102,3,2,0,3,2,-0.112956458,0
10,120,600,1000,0,140,80,100,3,2,0,3,3,0.891999802,0
110,110,1100,1200,80,140,95,120,3,2,1,0,0,-0.23538952,0
30,40,0,1000,60,200,0,97,3,2,1,0,1,-0.23538952,0
100,120,1300,1800,0,140,50,110,3,2,1,0,2,-0.23538952,0
20,30,0,1800,150,150,99,103,3,2,1,0,3,-0.196812327,0
40,60,1100,1200,70,120,98,100,3,2,1,1,0,-0.23538952,0
50,60,300,900,50,90,50,90,3,2,1,1,1,-0.23538952,0
60,130,700,3000,0,0,0,101,3,2,1,1,2,-0.23538952,0
20,90,700,3000,95,110,0,80,3,2,1,1,3,-0.23538952,0
30,90,700,800,70,160,0,120,3,2,1,2,0,0.319886176,0
10,10,0,2000,70,200,90,100,3,2,1,2,1,0.114943462,0
10,120,1800,2000,70,80,80,102,3,2,1,2,2,-0.23538952,0
100,110,700,1200,70,105,95,101,3,2,1,2,3,-0.23538952,0
120,150,1800,2000,90,130,99,120,3,2,1,3,0,-0.23538952,0
100,130,700,800,95,140,0,102,3,2,1,3,1,-0.23538952,0
0,60,1000,1500,50,120,50,101,3,2,1,3,2,-0.23538952,0
20,40,1800,2000,50,140,50,98,3,2,1,3,3,-0.23538952,0
10,50,700,3000,100,100,99,99,3,2,2,0,0,0.059776844,0
130,130,1500,3000,80,100,0,90,3,2,2,0,1,-0.23538952,0
10,90,300,1300,70,95,97,103,3,2,2,0,2,-0.23538952,0
30,90,800,3000,120,140,80,99,3,2,2,0,3,-0.23538952,0
30,130,800,1300,0,200,80,99,3,2,2,1,0,-0.23538952,0
50,60,800,3000,60,110,50,100,3,2,2,1,1,-0.23538952,0
50,60,800,2000,70,150,95,95,3,2,2,1,2,-0.23538952,0
20,60,700,1800,100,105,97,150,3,2,2,1,3,-0.217942576,0
10,60,1300,1500,200,200,0,90,3,2,2,2,0,-0.23538952,0
40,140,1100,1800,70,105,103,103,3,2,2,2,1,-0.23538952,0
80,90,1400,2000,105,200,90,110,3,2,2,2,2,-0.23538952,0
10,100,800,1400,100,150,90,105,3,2,2,2,3,0.007972298,0
120,130,0,1400,95,120,103,120,3,2,2,3,0,-0.23538952,0
0,60,1100,3000,50,140,90,103,3,2,2,3,1,-0.23538952,0
30,50,900,1500,95,160,90,98,3,2,2,3,2,-0.23538952,0
10,80,1300,1800,50,100,102,103,3,2,2,3,3,-0.23538952,0
10,70,1800,3000,100,140,150,150,3,2,3,0,0,-0.23538952,0
30,70,1400,1500,50,80,50,97,3,2,3,0,1,-0.23538952,0
120,120,300,1500,80,160,90,150,3,2,3,0,2,-1.132599492,0
80,140,700,3000,130,150,90,100,3,2,3,0,3,-0.23538952,0
10,50,600,800,100,160,97,105,3,2,3,1,0,-0.43370628,0
60,80,600,700,80,105,0,150,3,2,3,1,1,-0.23538952,0
10,120,300,900,0,60,110,120,3,2,3,1,2,-0.23538952,0
20,130,1500,2000,95,200,98,99,3,2,3,1,3,-0.23538952,0
140,140,500,700,90,110,80,102,3,2,3,2,0,-0.288681923,0
10,70,1200,1400,80,95,80,105,3,2,3,2,1,-0.23538952,0
60,70,1400,1400,50,150,102,120,3,2,3,2,2,-0.23538952,0
20,20,300,1000,100,160,80,100,3,2,3,2,3,-0.313087606,0
90,120,600,1400,70,100,90,98,3,2,3,3,0,-0.23538952,0
40,110,700,1100,100,140,100,110,3,2,3,3,1,-0.180447233,0
10,40,900,1400,95,110,80,100,3,2,3,3,2,-0.250375228,0
0,40,1200,1300,120,160,95,100,3,2,3,3,3,-0.23538952,0
80,100,300,500,50,110,103,110,3,3,0,0,0,-0.23538952,0
10,130,500,700,150,200,50,80,3,3,0,0,1,-0.23538952,0
0,100,800,1400,50,200,105,150,3,3,0,0,2,-0.23538952,0
20,100,800,1400,80,110,50,105,3,3,0,0,3,0.955963725,0
50,100,900,2000,80,120,102,110,3,3,0,1,0,-0.23538952,0
0,50,300,300,0,0,50,101,3,3,0,1,1,1.002463533,0
10,150,600,1100,95,130,50,100,3,3,0,1,2,0.955352361,0
0,70,1200,2000,70,90,90,120,3,3,0,1,3,-0.23538952,0
20,50,1300,3000,140,150,95,97,3,3,0,2,0,-0.23538952,0
10,40,0,900,95,120,98,110,3,3,0,2,1,-0.068408064,0
70,150,600,1300,60,110,50,90,3,3,0,2,2,-0.23538952,0
60,120,800,1500,70,200,110,110,3,3,0,2,3,-0.23538952,0
10,100,1300,1400,50,200,103,150,3,3,0,3,0,-0.23538952,0
20,60,700,1100,50,140,120,120,3,3,0,3,1,1.021274378,0
20,50,1500,1800,60,105,97,105,3,3,0,3,2,-0.23538952,0
60,120,1300,1500,100,120,80,120,3,3,0,3,3,-0.23538952,0
120,150,1300,1400,110,120,80,150,3,3,1,0,0,-0.23538952,0
30,140,700,1100,0,150,50,98,3,3,1,0,1,-0.23538952,0
40,120,0,1000,95,120,100,100,3,3,1,0,2,0.466311345,0
50,70,600,1200,60,150,80,103,3,3,1,0,3,-0.23538952,0
100,120,500,1300,60,110,102,120,3,3,1,1,0,-0.23538952,0
20,30,500,1500,70,200,105,150,3,3,1,1,1,-0.23538952,0
0,70,900,1800,60,90,99,99,3,3,1,1,2,-0.23538952,0
20,140,800,1500,100,100,0,105,3,3,1,1,3,0.904186801,0
10,150,900,1000,120,140,95,120,3,3,1,2,0,-0.23538952,0
70,140,1100,1300,50,200,80,100,3,3,1,2,1,-0.23538952,0
40,50,300,800,120,150,80,97,3,3,1,2,2,-0.23538952,0
100,130,1300,2000,70,160,80,150,3,3,1,2,3,-0.23538952,0
50,60,0,300,95,130,0,150,3,3,1,3,0,-0.23538952,0
90,140,1300,3000,120,160,98,150,3,3,1,3,1,-0.23538952,0
30,70,600,700,90,160,50,103,3,3,1,3,2,0.185532479,0
90,90,1400,2000,110,160,95,98,3,3,1,3,3,-0.23538952,0
50,130,300,1300,105,150,105,120,3,3,2,0,0,-0.23538952,0
20,20,1200,1300,70,120,90,150,3,3,2,0,1,-0.23538952,0
0,40,1400,1400,80,90,90,120,3,3,2,0,2,-0.23538952,0
10,150,600,1100,105,200,50,95,3,3,2,0,3,-0.23538952,0
20,50,500,900,70,110,80,150,3,3,2,1,0,0.806151407,0
40,140,1400,1400,50,110,90,90,3,3,2,1,1,0.329825608,0
0,60,0,1100,50,150,0,97,3,3,2,1,2,-0.23538952,0
0,120,600,800,100,130,0,120,3,3,2,1,3,0.326727733,0
10,110,800,1300,95,95,50,150,3,3,2,2,0,0.83674432,0
70,130,500,1800,60,70,80,150,3,3,2,2,1,-0.23538952,0
10,60,300,900,70,105,80,105,3,3,2,2,2,0.198593767,0
0,140,0,600,0,0,50,103,3,3,2,2,3,-0.082364962,0
20,110,1400,1500,0,90,98,105,3,3,2,3,0,-0.23538952,0
20,50,500,3000,130,130,50,103,3,3,2,3,1,0.775417871,0
0,20,1000,1100,90,130,105,110,3,3,2,3,2,-0.23538952,0
100,100,1000,1200,100,130,100,103,3,3,2,3,3,-0.23538952,0
0,50,600,1200,50,110,99,100,3,3,3,0,0,0.03958429,0
90,100,0,1300,50,110,98,150,3,3,3,0,1,-0.23538952,0
130,130,600,1800,60,120,97,103,3,3,3,0,2,-0.064867977,0
60,90,600,3000,0,150,50,98,3,3,3,0,3,-0.23538952,0
20,40,0,2000,60,160,95,150,3,3,3,1,0,-0.017878355,0
70,70,300,1100,80,90,80,102,3,3,3,1,1,-0.23538952,0
10,120,800,1200,70,200,50,105,3,3,3,1,2,0.02314202,0
30,120,0,1100,0,110,100,103,3,3,3,1,3,-0.274090598,0
20,110,300,1200,90,140,98,101,3,3,3,2,0,-0.142041426,0
30,40,900,1400,50,120,102,120,3,3,3,2,1,-0.23538952,0
10,50,700,900,100,160,0,105,3,3,3,2,2,0.04542225,0
0,110,500,3000,70,140,103,110,3,3,3,2,3,-0.23538952,0
80,110,1000,3000,50,200,50,101,3,3,3,3,0,-0.23538952,0
90,90,0,1800,50,200,0,97,3,3,3,3,1,-0.23538952,0
10,90,800,2000,130,200,80,103,3,3,3,3,2,-0.23538952,0
10,130,600,2000,90,100,95,105,3,3,3,3,3,-0.247818175,0